dumpu16,44929
echochar,38352
echostring,20636
echouint,29411
echouint32,45252
entryPoint,3151
eoln,38642
errDuplicateRun,15261
errorSourceFile,48174
errorString1,29202
errorString2,16915
errorString3,29065
expectedString1,61108
expectedString2,48809
expectedString3,61235
expr,31404
extOfs,39230
fclose,27026
fcreate,22849
ff,46775
fflush,31556
fmodify,10835
fopen,58551
fpos,25199
fread,10005
fseek,39102
fseekby,48092
fwrite,3767
handle,30590
hashStr1,63173
hashStr10,5976
hashStr11,54597
hashStr12,9540
hashStr13,54478
hashStr14,5423
hashStr15,9410
hashStr16,5962
hashStr17,5489
hashStr18,54584
hashStr2,50884
hashStr3,63310
hashStr4,46767
hashStr5,51010
hashStr6,46282
hashStr7,46833
hashStr8,63160
hashStr9,46810
hashStrEnd,21072
heapData,36298
heapDataEnd,33290
hexDigits,55082
imm,49850
immType,39151
instruction,40051
itemAdd,14791
itemAnd,14143
itemAndIs,13385
itemAt,5977
itemColon,26635
itemComma,2123
itemDiv,46338
itemDot,25927
itemDotDot,5042
itemEq,12378
itemGTEq,6985
itemIsNot,23610
itemLBrace,10730
itemLDoubleBrace,51358
itemLParen,25284
itemLT,26484
itemLTEq,3166
itemMod,34521
itemMul,34889
itemNotEq,35763
itemOr,42761
itemOrIs,61700
itemPostDec,39115
itemPostInc,63993
itemRBrace,58083
itemRDoubleBrace,61331
itemRParen,36749
itemRol,17543
itemRor,17785
itemSRol,26572
itemSRor,26038
itemSShr,5541
itemSemicolon,31586
itemSetAdd,3221
itemSetAnd,3405
itemSetDiv,20436
itemSetMod,48965
itemSetMul,46885
itemSetNot,56853
itemSetOr,54223
itemSetRol,65021
itemSetRor,65027
itemSetSRol,5428
itemSetSRor,5326
itemSetSShr,50414
itemSetShl,52693
itemSetShr,53163
itemSetSub,56295
itemSetTo,21212
itemSetXor,53171
itemShl,29785
itemShr,29991
itemSub,26987
itemUnaryNot,60578
itemXor,31247
keywordTable,65393
keywordTableEnd,3377
leadFlag,37035
lf,15847
line,38302
lineStr,57558
maskGroup,258
maskOper,21507
maskPrec,2582
maskSubToken,63262
matchLen,51231
memRegs,54548
memSize,16075
minMemString,14578
mrX86RegBP,17432
mrX86RegBX,15368
mrX86RegDI,48826
mrX86RegSI,52756
nextCh,17341
nextCol,43779
nextIdent,33107
nextLine,28088
nextString,20155
nextToken,64285
nextUint,41335
number,5141
ofs,26933
op,29371
opAdd,61399
opAnd,60047
opAndIs,65311
opDiv,12274
opEq,14637
opGT,16095
opGTEq,26786
opLT,540
opLTEq,31161
opMod,40143
opMul,39503
opNotEq,23272
opOr,50162
opOrIs,42331
opPostDec,45130
opPostInc,3356
opPreDec,60187
opPreInc,51913
opRol,56919
opRor,56105
opSRol,21616
opSRor,22402
opSShr,33586
opShl,44151
opShr,44937
opSub,47941
opTable,37220
opTableEnd,40890
opXor,44953
operHigh,36830
operLow,45334
operSymbol,30018
operandStr,27621
prec00,45702
prec01,61591
prec02,49290
prec03,61712
prec04,45437
prec05,49436
prec06,45716
prec07,45187
prec08,61798
prec09,45188
prec10,13983
prec11,30066
prec12,17779
prec13,30185
prec14,13464
prec15,17893
prefix,13256
reg,50586
repOp,64932
rsvdAsm,16613
rsvdBreak,2916
rsvdElse,63617
rsvdElseIf,40754
rsvdEnd,41201
rsvdEndIf,49522
rsvdEndWhile,2238
rsvdEnum,64254
rsvdExit,57963
rsvdExtends,14950
rsvdFunc,27522
rsvdIdent,38342
rsvdIf,33874
rsvdImplements,57315
rsvdIn,17278
rsvdInterface,17621
rsvdInternal,3208
rsvdMethod,38990
rsvdNext,7884
rsvdNoFrame,10800
rsvdNoRet,26753
rsvdObject,43642
rsvdPrivate,36414
rsvdProgram,53525
rsvdPublic,11144
rsvdReturn,44480
rsvdRun,63047
rsvdSelf,51380
rsvdStruct,16340
rsvdThen,12996
rsvdThenIf,31691
rsvdVar,47245
rsvdVisible,50635
rsvdWhile,2368
run,4275
sel,58632
setAdd,65486
setAnd,63766
setDiv,64764
setMod,52478
setMul,51934
setNot,43854
setOr,18683
setRol,3174
setRor,3940
setSRol,62574
setSRor,63388
setSShr,41796
setShl,48238
setShr,49052
setSub,43848
setSymbol,12119
setTo,51352
setXor,49012
size,12925
source,43799
space,19884
src,46118
srcName,53681
srcReg,54604
str,38070
strAsm,56477
strBreak,31019
strElse,5116
strElseIf,64868
strEnd,47978
strEndIf,40365
strEndWhile,23606
strEnum,5524
strExit,15749
strExtends,52973
strFunc,41904
strFuncStatement,49983
strIdentifier,17487
strIf,4638
strImplements,24836
strIn,53522
strInterface,4059
strInternal,25083
strMethod,29577
strNext,10366
strNoFrame,60433
strNoRet,31182
strObject,22200
strPrivate,9675
strProgram,40220
strPublic,52205
strReturn,33901
strRun,2168
strRunUndefined,65221
strSection,40956
strSelf,33854
strStatement,44469
strStruct,53558
strThen,59694
strThenIf,58045
strTopLevel,53595
strVar,39990
strVisible,21943
strWhile,14725
stringDest,50292
stringLen,65356
suffix,6878
tab,24706
tableName,4034
tkAt,65343
tkColon,42138
tkComma,53969
tkDot,47572
tkDotDot,63045
tkEOF,19713
tkEOL,11293
tkGeneral,22311
tkIdent,59562
tkLBrace,58107
tkLDoubleBrace,22093
tkLParen,36853
tkRBrace,11378
tkRDoubleBrace,33011
tkRParen,3139
tkSemicolon,22326
token,30552
unaryIsNot,20850
unaryNeg,19177
unaryNot,27155
usageString,49402
valChar,21696
valFalse,24244
valInt,48730
valInt8,25666
valLiteral,15713
valString,32252
valTrue,12000
valUint,20071
valUint8,1275
value,52879
vt,50795
x86Adc,36291
x86Add,36245
x86And,35917
x86Call,41915
x86Cbw,57917
x86Clc,16505
x86Cld,16879
x86Cli,32821
x86Cmc,24834
x86Cmp,26316
x86Cmpsb,13189
x86Cmpsw,49837
x86Cwd,17484
x86Dec,22885
x86Div,51926
x86GenOp,64259
x86GenOpImm,11748
x86GenOpMem,15753
x86GenOpMemCL,34684
x86GenOpMemImm,49645
x86GenOpMemReg,65115
x86GenOpReg,27273
x86GenOpRegImm,43490
x86GenOpRegMem,38600
x86GenOpRegReg,58971
x86GenOpSelOfs,40551
x86GenRepOp,23688
x86IDiv,25550
x86IMul,46659
x86Ident,62804
x86In,3022
x86Inc,16279
x86Int,12241
x86Int3,18137
x86Iret,64227
x86JCC,19039
x86Ja,4297
x86Jae,12773
x86Jb,8925
x86Jbe,38301
x86Jc,4405
x86Jcxz,41017
x86Je,60113
x86Jg,37593
x86Jge,13722
x86Jl,4163
x86Jle,12521
x86Jmp,26688
x86Jna,19961
x86Jnae,56133
x86Jnb,24557
x86Jnbe,49085
x86Jnc,20357
x86Jne,14305
x86Jng,53225
x86Jnge,57274
x86Jnl,19571
x86Jnle,55369
x86Jno,20377
x86Jnp,19019
x86Jns,14285
x86Jnz,59929
x86Jo,4393
x86Jp,5755
x86Jpe,11353
x86Jpo,21681
x86Js,60157
x86Jz,14025
x86Lahf,62144
x86Lds,46127
x86Lea,30487
x86Les,41251
x86Lodsb,59096
x86Lodsw,22516
x86Loop,50700
x86Loope,52092
x86Loopne,26808
x86Loopnz,45916
x86Loopz,37008
x86Mov,23293
x86Movsb,49850
x86Movsw,13166
x86Mul,15323
x86Neg,32158
x86Nop,20067
x86Not,23275
x86Or,37199
x86Out,13612
x86Pop,11963
x86Popf,17859
x86Push,9714
x86Pushf,13233
x86RMTable,1038
x86Rcl,30965
x86Rcr,30987
x86Reg16,8592
x86Reg8,64603
x86RegAH,16810
x86RegAL,41394
x86RegAX,33154
x86RegBH,61228
x86RegBL,53044
x86RegBP,42772
x86RegBX,44804
x86RegCH,26028
x86RegCL,34228
x86RegCX,42372
x86RegDH,61876
x86RegDI,13750
x86RegDL,53676
x86RegDX,45468
x86RegSI,9704
x86RegSP,39378
x86Rep,52981
x86Repe,56642
x86Repne,51340
x86Repnz,38112
x86Repz,40998
x86Ret,55933
x86Retf,7248
x86Rol,30973
x86Ror,30979
x86SReg,47482
x86SRegCS,22299
x86SRegDS,27499
x86SRegES,23668
x86SRegSS,23369
x86Sahf,62507
x86Sal,17215
x86Sar,18113
x86Sbb,31417
x86Scasb,46138
x86Scasw,17646
x86Shl,18643
x86Shr,19117
x86SingleByteOpTable,23846
x86Stc,27381
x86Std,26899
x86Sti,10825
x86Stosb,33385
x86Stosw,61761
x86Sub,14065
x86Test,32537
x86Xchg,15377
x86Xlat,45039
x86Xlatb,30654
x86Xor,19133
x86ifAddrSizePrefix,15264
x86ifDisp0,19684
x86ifDisp1,36593
x86ifDisp2,24312
x86ifDisp3,36466
x86ifImm0,648
x86ifImm1,49301
x86ifImm2,61588
x86ifImm3,49438
x86ifInstPrefix,64220
x86ifModRM,55199
x86ifOpcode,45819
x86ifOperSizePrefix,39673
x86ifSIB,43833
x86ifSegOverride,38873
x86keywordTable,39231
x86keywordTableEnd,57474
